train loss;train accuracy;val accuracy;test loss;test accuracy
0.25364041328430176;0.8953333497047424;0.8700000047683716;0.34627705812454224;0.8688889145851135
0.1188613772392273;0.9520000219345093;0.8799999952316284;0.3426304757595062;0.8822222352027893
0.06128690019249916;0.9760000109672546;0.878333330154419;0.3437243700027466;0.8855555653572083
0.07044007629156113;0.9750000238418579;0.8700000047683716;0.4243795573711395;0.8766666650772095
0.05132381245493889;0.9829999804496765;0.8650000095367432;0.48269736766815186;0.8722222447395325
0.017070941627025604;0.9943333268165588;0.871666669845581;0.5353406667709351;0.8922222256660461
0.05811415985226631;0.9783333539962769;0.875;0.5442949533462524;0.8844444155693054
0.013857078738510609;0.9946666955947876;0.871666669845581;0.591181755065918;0.8911111354827881
0.010159188881516457;0.9956666827201843;0.8816666603088379;0.5184898376464844;0.9066666960716248
0.03001275099813938;0.9893333315849304;0.875;0.5579706430435181;0.8777777552604675
0.024518655613064766;0.9916666746139526;0.8700000047683716;0.6165310144424438;0.8855555653572083
0.009912395849823952;0.996666669845581;0.8849999904632568;0.5834344029426575;0.9122222065925598
0.26018795371055603;0.8963333368301392;0.8633333444595337;0.30932992696762085;0.8711110949516296
0.10809540748596191;0.9586666822433472;0.8866666555404663;0.335428386926651;0.8844444155693054
0.05822502076625824;0.9796666502952576;0.8683333396911621;0.3948590159416199;0.8899999856948853
0.08474073559045792;0.9713333249092102;0.8566666841506958;0.380403995513916;0.8722222447395325
0.03572046756744385;0.9866666793823242;0.8600000143051147;0.5042867660522461;0.8811110854148865
0.01895693689584732;0.9929999709129333;0.8766666650772095;0.4643535315990448;0.8888888955116272
0.03807540982961655;0.9879999756813049;0.8683333396911621;0.5264896154403687;0.8855555653572083
0.023869547992944717;0.9913333058357239;0.8700000047683716;0.5772684812545776;0.8966666460037231
0.01060046348720789;0.9956666827201843;0.8650000095367432;0.5960837602615356;0.894444465637207
0.023325549438595772;0.9923333525657654;0.8616666793823242;0.6598395705223083;0.8799999952316284
0.04313593730330467;0.9866666793823242;0.8533333539962769;0.7353812456130981;0.8877778053283691
0.009983507916331291;0.9976666569709778;0.878333330154419;0.7096470594406128;0.8866666555404663
0.24872249364852905;0.8963333368301392;0.8550000190734863;0.31073689460754395;0.8722222447395325
0.11703145503997803;0.9526666402816772;0.8683333396911621;0.3554700016975403;0.8844444155693054
0.05485051870346069;0.9793333411216736;0.871666669845581;0.36414244771003723;0.894444465637207
0.08431738615036011;0.968666672706604;0.8583333492279053;0.4158800542354584;0.8688889145851135
0.04232342913746834;0.9850000143051147;0.8683333396911621;0.5180270671844482;0.8999999761581421
0.02354097180068493;0.9929999709129333;0.871666669845581;0.5813676118850708;0.8922222256660461
0.05631357803940773;0.9829999804496765;0.8600000143051147;0.507737934589386;0.8933333158493042
0.018603987991809845;0.9929999709129333;0.8849999904632568;0.5871791839599609;0.8866666555404663
0.01812625862658024;0.9926666617393494;0.8766666650772095;0.7080624103546143;0.8655555844306946
0.027065403759479523;0.9923333525657654;0.8616666793823242;0.6561884880065918;0.8766666650772095
0.021582849323749542;0.9929999709129333;0.8683333396911621;0.6573643088340759;0.8877778053283691
0.005973700433969498;0.9973333477973938;0.8700000047683716;0.7307544350624084;0.8899999856948853
0.32226547598838806;0.862666666507721;0.8650000095367432;0.3234395384788513;0.8744444251060486
0.1701222062110901;0.9340000152587891;0.8683333396911621;0.32027921080589294;0.8822222352027893
0.11115392297506332;0.956333339214325;0.8616666793823242;0.36125844717025757;0.8899999856948853
0.12062269449234009;0.953000009059906;0.8766666650772095;0.413094699382782;0.8788889050483704
0.06421943008899689;0.9766666889190674;0.871666669845581;0.4442456364631653;0.8799999952316284
0.034802746027708054;0.9879999756813049;0.8833333253860474;0.49948757886886597;0.8833333253860474
